;;;;;;;;;;;;;;;
;CALCULADORA MODELO;;;;;;;;;;;;;;
;RATES;;; CUOTA MÍNIMA: USD 470 ;;;;;;;;;;;
;USD;EUR; GBP ;;;;;;; ;;;;;
; $ 4.094 ; € 1,0100 ; $ 1,20 ;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;PLATAFORMA;VALORES;;DÓLARES;;;;COP MODELO;;;;;;;
;;;;;;;;;;;;;;;
;DX LIVE;0;; $ -   ;;;; $ -   ;;;;;;;
;MONDO; € -   ;; $ -   ;;;; $ -   ;;;;;;;
;CMD; $ -   ;; $ -   ;;;; $ -   ;;;;;;;
;CAMLUST; $ -   ;; $ -   ;;;; $ -   ;;;;;;;
;SKYPVT; $ -   ;; $ -   ;;;; $ -   ;;;;;;;
;CHATURBATE;0 ;; $ -   ;;;; $ -   ;;;;;;;
;MYFREECAMS;0 ;; $ -   ;;;; $ -   ;;;;;;;
;STRIPCHAT;0 ;; $ -   ;;;; $ -   ;;;;;;;
;MODELKA; € -   ;; $ -   ;;;; $ -   ;;;;;;;
;LIVEJASMIN; $ -   ;; $ -   ;;;; $ -   ;;;;;;;
;SECRETFRIENDS; $ -   ;; $ -   ;;;; $ -   ;;; ;;;;
;MDH; $-   ;; $ -   ;;;; $ -   ;;;;;;;
;XMODELS; € -   ;; $ -   ;;;; $ -   ;;;;;;;
;777; € -   ;; $ -   ;;;; $ -   ;;;;;;;
;VX; € -   ;; $ -   ;;;; $ -   ;;;;;;;
;LIVE CREATOR; € -   ;; $ -   ;;;; $ -   ;;;;;;;
;AW; £-   ;; $ -   ;;;; $ -   ;;;;;;;
;SUPERFOON; € -   ;; $ -   ;;;; $ -   ;;;;;;;
;IMLIVE; $ -   ;; $ -   ;;;; $ -   ;;;;;;;
;HEGRE; $ -   ;; $ -   ;;;; $ -   ;;;;;;;
;DIRTYFANS; $ -   ;; $ -   ;;;; $ -   ;;;;;;;
;CAMCONTACS; $ -   ;; $ -   ;;;; $ -   ;;;;;;;
;MOW; € -   ;; $ -   ;;;; $ -   ;;;;;;;
;BABESTATION; £-   ;; $ -   ;;;; $ -   ;;;;;;;
;BIG7; € -   ;; $ -   ;;;; $ -   ;;;;;;;
;; $ -   ;;;;;;;;;;;;;
;; $ -   ;;;;;;;;;;;;;
;; $ -   ;;;;;;;;;;;;;
;; $ -   ;;;;;;;;;;;;;
;; $ -   ;;;;;;;;;;;;;
;TOTALES;;; $ -   ;;;; $ -   ;;;;;;;
;;;;Max. Anticipo (90%);;;90%; $ -   ;;;;;;;
